thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,0,up,1,0.8829304999671876,None,0,0,0,0,0.032985700003337115,,0.016247600025963038,0.032985700003337115,0.5008106000022963,0.5335568999871612,1.3924560000305064,0,up,1,0.8829304999671876,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
1,0,1,-4,down,1,0.8129083999665454,None,1,0,1,0,1.3987698000273667,,1.3929149000323378,1.3987698000273667,1.899924200028181,1.899924200028181,2.7177040000096895,-4,down,1,0.8129083999665454,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
2,0,2,-3,down,1,0.7509953000117093,None,2,0,2,0,2.7331845000153407,,2.7181650000275113,2.7331845000153407,3.2333623000304215,3.2333623000304215,4.000778999994509,-3,down,1,0.7509953000117093,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
3,0,3,0,up,1,0.9129943000152707,None,3,0,3,0,4.016972100012936,,4.001127200026531,4.016972100012936,4.499738799990155,4.51698449999094,5.417505400022492,0,up,1,0.9129943000152707,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
4,0,4,2,down,1,0.8139624999603257,None,4,0,4,0,5.433271799993236,,5.417887800023891,5.433271799993236,5.93360530002974,5.93360530002974,6.7514090000186116,2,down,1,0.8139624999603257,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
5,0,5,0,up,1,0.7514135999954306,None,5,0,5,0,6.766609200043604,,6.7517804999952205,6.766609200043604,7.266548199986573,7.266548199986573,8.034356500022113,0,up,1,0.7514135999954306,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
6,0,6,0,up,1,0.7406918000197038,None,6,0,6,0,8.049816100043245,,8.034836500009988,8.049816100043245,8.533510200039018,8.550047500000801,9.283035700034816,0,up,1,0.7406918000197038,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
7,0,7,0,up,1,0.7057258000131696,None,7,0,7,0,9.300058000022545,,9.28336440003477,9.300058000022545,9.78327850002097,9.800211900030263,10.500788800010923,0,up,1,0.7057258000131696,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
8,0,8,-4,down,1,0.690629499964416,None,8,0,8,0,10.51646489999257,,10.501331300009042,10.51646489999257,11.016574700013734,11.016574700013734,11.717088300036266,-4,down,1,0.690629499964416,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
9,0,9,0,up,1,0.9178374000475742,None,9,0,9,0,11.73315540002659,,11.717417200037744,11.73315540002659,12.216625400003977,12.233181499992497,13.150743000034709,0,up,1,0.9178374000475742,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
10,0,10,1,up,0,0.7876294000307098,None,10,0,10,0,13.166724300011992,,13.151239600032568,13.166724300011992,13.650074300006963,13.666923900018446,14.450667200027965,1,up,0,0.7876294000307098,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
11,0,11,0,up,1,0.8351296000182629,None,11,0,11,0,14.466287299990654,,14.45111150003504,14.466287299990654,14.950278700038325,14.966992100002244,15.800378200015984,0,up,1,0.8351296000182629,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
